	-	6	0	ь	э	υ	σ	v	/	ç	_	3	d	{	}	á	е	^	j	ù	я	ô	w	]	ò	*	5	θ	ó		l	g	γ	ε	2	7	>	è	%	a	ц	щ	)	<	&	:	œ	?	в	í	ß	û	ю	ѣ	4	д	@	ќ	й	з		б	τ	с	и		і	.	k	ф	8	1	x	ê	ï	є	ъ	«	„	[	c	г	â	т	‑	х	#	“	î	у	é	n	к	ж	…	ы	°	о	z	ë	̀	`	à	½	л	m	e	№	y	h	q	’	""""	м	ú	|	f	ý	н	ö	,	 	́		ü	(	i	ч	b	ι	ο	!	ώ	'	ш	”	§	t	а	=	ä	u	r	љ	¾	п	s	~	p	;	—	ї	ё	»	λ	–	o	·	р	9
q	0	1	0	0	0	0	0	1	0	0	0	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	135	1	0	0	0	0	0	0	0	119	0	0	1	0	17	1	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	1	0	0	7	0	0	0	11	60	0	0	0	0	0	0	1	0	0	0	5	0	0	5	821	0	1	0	0	40	2	0	0	0	2	0	0	0	22	715	0	0	0	0	341	0	0	0	0	10	0	177	0	0	0	33	0	0	0	1395	35	0	0	0	50	0	1	0	0	0	0	8	0	1	83	0	0	0
’	6	0	0	2	1	0	0	16	0	0	0	0	5	0	0	0	6	0	2	1	3	0	1	0	0	0	0	0	0	0	36	4	0	0	1	0	0	1	0	115	0	0	0	0	0	1	0	1	2	0	0	0	2	0	0	7	0	0	0	0	0	0	0	4	7	0	0	3	0	0	0	0	6	6	0	0	0	0	0	2	14	0	1	3	0	2	0	0	0	3	16	84	3	0	0	1	0	11	0	0	0	0	1	0	1	35	215	0	7	17	0	0	0	6	0	0	8	0	2	0	14	117	0	0	0	0	62	0	11	0	0	0	0	0	1	0	0	170	20	0	0	46	22	0	0	0	156	0	30	1	0	0	6	1	0	0	50	0	2	0
""""	2154	2	14	36	246	0	0	43	1	0	0	6	39	25	5	0	1510	0	6	0	495	0	5	13	0	12	2	0	0	0	42	8	0	0	8	3	3	0	0	84	74	32	36	9	0	29	0	71	1233	0	0	0	87	0	3	1054	0	0	68	421	0	521	0	1228	1412	0	0	1966	3	83	6	26	17	0	0	0	1	1	0	72	33	398	0	1527	0	188	0	0	0	683	0	38	993	206	1	302	0	2668	1	0	0	0	0	0	706	59	94	0	6	23	9	0	298	737	0	1	7	0	1665	0	1943	8579	0	0	0	107	86	577	11	0	0	77	0	7	122	0	0	25	1895	0	0	48	37	0	0	1114	49	0	30	95	0	0	8	0	0	87	56	0	954	3
м	9184	38	19	21468	3327	0	0	55	0	0	0	48	25	45	21	4	249450	0	8	0	62286	1	3	30	0	113	35	0	3	3	38	4	0	0	82	28	40	0	0	48	2975	6805	970	72	1	4366	0	4132	47660	0	0	0	16250	0	46	33779	0	0	21780	15831	0	19278	0	80948	185430	3	21	40134	1	2828	34	198	130	0	0	0	36	1078	20	101	24	46000	0	105323	0	14546	1	44	0	107381	2	19	37605	36446	2201	46467	0	223639	0	0	0	8	6	0	94130	53	36	8	0	6	5	3	930	32452	0	1	4	0	199817	0	97540	508248	2	0	2	729	147	35131	15	0	0	5659	0	21	15239	1	0	13	157291	0	0	11	10	0	0	39293	29	0	32	4547	3427	0	589	1724	0	4038	16	0	72409	18
ú	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
|	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f	11	0	0	0	1	0	0	17	0	4	0	2	60	1	0	0	2	0	1	0	0	0	2	1	0	0	2	0	0	0	193	30	0	0	21	0	0	8	0	743	0	0	4	1	40	1	0	7	5	0	0	0	0	0	2	0	0	0	3	0	0	2	0	1	7	0	0	35	10	0	1	7	13	3	0	0	0	1	0	33	114	2	2	2	0	0	37	0	1	2	14	325	1	1	6	1	0	3	1	0	0	0	1	0	0	181	432	0	7	15	10	2	5	0	0	0	141	0	2	0	85	267	0	0	2	0	661	0	18	0	0	15	0	3	0	0	0	463	1	0	0	284	486	0	0	4	172	0	6	3	4	0	0	8	0	1	217	0	1	2
ý	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
н	8764	20	7	71545	5977	0	0	32	5	0	0	36	16	64	23	8	536711	1	4	0	124515	0	0	49	0	160	36	0	3	0	26	7	0	0	102	22	129	0	0	16	28390	7057	2077	28	1	6359	0	7650	134455	0	0	0	40830	0	21	74880	0	0	88226	51321	0	55945	0	161445	390118	11	27	69794	1	3583	23	336	76	0	0	0	49	850	15	138	35	76887	0	155557	0	46650	1	95	0	148945	1	18	120604	23849	3953	150758	0	550246	17	0	2	0	2	0	88754	67	34	1	5	6	3	1	1216	146691	0	0	1	0	196011	0	167969	1012568	11	0	0	1257	133	62416	8	0	0	11065	0	27	29817	5	0	11	462097	0	0	5	12	0	0	88831	16	0	39	7883	4293	0	501	3157	0	4805	11	0	65593	22
ö	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
,	22901	129	135	714	4924	0	0	167	34	2	1	220	155	120	6	1	74635	0	158	4	15950	1	25	68	0	16	135	1	4	0	333	45	0	0	379	139	2	0	0	760	974	2384	29	82	32	8	0	374	64091	1	0	0	2051	0	146	37263	0	0	687	22483	0	27538	0	75429	79632	40	4	858	5	1596	333	852	25	1	0	1	124	836	23	689	306	20499	0	134806	0	9238	19	2	1	30757	11	296	86112	7003	118	17173	1	193738	5	0	0	0	5	0	24096	781	715	51	9	111	163	49	263	26145	1	0	40	0	96446	0	3163	967917	2	0	0	17	405	89460	54	0	0	40	0	122	2563	0	0	211	137339	0	0	323	102	0	0	72454	185	0	187	7	12480	0	183	3	0	21956	696	0	46540	256
 	89458	2107	1974	10868	95573	0	0	3450	69	15	10	2397	4068	729	11	7	1214957	1	1000	4	194759	14	189	46	8	746	1659	1	135	0	5125	924	1	1	3492	2023	37	124	7	9073	32360	33884	596	406	1047	1405	5	4429	854302	1	1	6	45210	1	1650	572226	1	7	43976	340186	0	420871	0	1022548	796555	86	70	20650	119	32212	3234	7010	1895	77	3	3	5990	19660	544	661	3897	339818	22	907797	0	123225	767	40	6	449006	362	5597	614448	196038	2900	229876	3	1796003	169	0	9	1	105	4	605810	5895	11102	101	267	1636	1160	416	7166	519493	1	1	1383	3	1018933	7	64732	1427556	36	0	11	10401	10908	315020	1573	0	0	3515	0	1450	93140	1	1	3534	1075753	5	3	6030	4285	3	1	728341	4539	2	3344	658	49647	1	11180	223	1	63154	6790	0	737687	1346
́	1	0	0	12	10	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	21	29	0	0	0	0	0	1	24	0	0	3	17	0	34	0	63	21	0	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	64	0	8	0	0	0	29	0	0	15	71	1	51	0	126	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	34	0	0	0	0	106	0	46	616	0	0	0	0	0	7	0	0	0	7	0	0	14	0	0	0	49	0	0	0	0	0	0	33	0	0	0	1	16	0	0	0	0	7	0	0	32	0
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ü	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
(	30	131	81	29	200	0	0	17	0	0	0	88	11	0	0	0	1458	0	3	0	340	0	1	0	0	2	94	1	1	0	25	3	1	1	107	370	0	0	0	30	67	25	176	0	4	4	0	9	1203	0	0	0	31	0	70	773	0	0	28	408	0	413	1	1352	1241	0	0	1104	0	1357	343	706	3	0	0	0	0	160	5	0	14	423	0	1929	0	407	3	0	0	632	3	47	1080	159	4	209	0	2912	0	0	0	0	0	0	770	15	38	1	0	9	1	0	22	815	0	0	2	0	1407	0	117	2245	0	0	0	0	33	306	25	0	0	7	1	0	90	0	0	13	2532	0	0	16	15	0	0	1175	20	0	8	0	0	0	6	2	1	5	25	0	2365	44
i	240	16	3	22	32	0	0	771	0	1	0	36	603	18	0	0	437	0	93	0	146	1	20	2	0	18	13	0	0	0	1942	385	0	0	128	13	1	49	0	1078	12	14	89	11	298	28	0	100	736	0	1	0	11	0	9	240	0	0	38	623	1	118	0	525	1301	1	0	1683	38	18	14	107	403	9	0	0	2	44	0	356	1008	179	0	302	0	59	180	3	1	131	131	2685	338	46	96	48	0	633	105	0	0	0	32	0	204	646	4679	2	38	262	238	14	118	200	0	0	325	0	569	0	1699	10936	0	0	0	46	4321	144	285	0	0	267	0	57	24	1	0	1935	478	0	0	920	1602	0	0	474	2827	0	382	50	53	0	0	150	0	185	1031	0	257	12
ч	8508	1	6	28575	229	0	0	31	0	0	0	7	0	2	3	0	147360	0	0	0	5943	0	0	5	6	41	3	0	108	0	0	0	0	0	29	2	34	0	0	0	508	1527	258	8	0	1556	0	2791	24483	0	0	0	4056	0	5	3359	0	0	10141	3979	0	13961	0	55623	86953	3	1	12034	0	140	6	51	5	0	0	0	6	79	0	17	0	16871	0	179714	0	3853	0	13	0	33543	8	1	32379	2915	857	10337	0	177734	0	0	43	0	0	0	51001	7	2	0	0	0	2	0	165	26190	0	0	0	0	68329	0	33705	190173	467	0	0	169	113	1867	1	0	0	2818	0	27	8683	2	0	0	111668	0	0	0	0	0	0	3702	2	0	1	1282	602	0	712	441	0	1624	1	0	22597	3
b	6	0	0	0	1	0	0	46	0	0	0	0	50	0	0	0	4	0	30	0	2	0	3	1	0	1	0	0	0	0	662	51	0	0	14	1	0	1	0	545	1	0	12	0	27	4	0	4	2	0	0	1	0	0	0	0	0	0	3	2	0	3	0	4	1	0	0	55	13	0	1	7	2	8	0	0	0	1	0	23	45	1	3	3	0	0	25	0	0	1	15	637	2	1	6	0	0	8	5	0	1	0	0	0	1	31	908	0	17	31	25	0	6	1	0	0	14	0	6	5	65	296	0	0	0	0	446	0	36	0	0	27	0	0	0	0	0	208	4	0	0	389	510	0	0	1	265	0	5	2	0	0	0	11	0	1	507	0	2	0
ι	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ο	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
!	6130	59	43	72	1202	0	0	88	0	0	1	89	20	15	0	0	4794	0	20	1	2961	0	2	32	0	22	57	0	0	0	41	4	0	0	155	51	9	0	0	65	86	137	312	7	1	4	0	41	4688	0	0	0	181	0	82	3002	0	0	202	1269	0	1267	0	3546	3913	4	1	6880	1	325	46	191	76	0	0	0	4	253	10	376	44	1143	0	5171	0	912	1	45	0	2645	1	38	2934	481	82	1625	0	9027	1	0	0	0	0	0	1406	35	64	1	1	33	17	2	1192	1927	0	0	6	0	6985	0	645	78001	0	0	0	587	191	1496	9	0	0	203	0	23	169	3	0	6	8103	0	0	38	9	0	0	3807	20	0	11	11	5913	0	16	3050	0	7459	57	0	2228	40
ώ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'	6	0	0	21	0	0	0	57	0	0	0	1	33	0	0	0	37	0	0	1	20	1	2	0	0	0	0	0	0	0	145	31	0	0	60	0	0	0	0	445	14	2	0	0	64	0	1	0	29	0	0	0	14	0	0	29	0	0	16	12	0	21	0	36	63	0	0	10	2	1	0	1	14	1	0	0	1	0	0	5	37	12	1	76	0	13	62	0	0	34	9	216	60	7	6	16	0	90	1	0	0	0	4	0	32	179	575	0	26	75	3	0	4	27	0	0	13	0	60	0	82	464	0	0	0	0	267	12	31	0	0	10	0	1	18	0	0	411	110	0	0	166	118	0	0	15	394	0	127	0	3	0	0	1	0	0	168	0	30	0
ш	1186	4	0	30895	385	0	0	0	0	0	0	1	0	2	1	0	94286	0	0	0	8924	0	0	7	0	18	3	0	0	0	1	1	0	0	10	1	4	0	0	2	415	368	163	8	1	995	0	3137	13447	0	0	0	5630	0	1	6758	0	0	18631	1127	0	4620	0	23268	78068	1	3	11355	1	653	1	15	6	0	0	0	2	73	4	11	3	11460	0	20802	0	6497	0	21	0	17187	0	0	26533	577	813	3862	0	38119	0	0	0	0	0	0	43198	11	0	0	0	0	1	0	235	18843	0	0	2	0	41835	0	26212	119381	2	0	0	170	11	1585	3	0	0	3441	0	6	3588	1	0	1	61567	0	0	0	1	0	0	9094	1	0	4	1218	632	0	415	669	0	529	3	0	5665	2
”	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	2	0	8	36	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	0	0	0	0
§	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t	230	20	9	0	5	0	0	160	0	1	0	48	650	17	0	1	24	0	172	2	17	8	23	8	0	5	23	0	0	0	675	105	0	0	233	11	1	42	0	1360	0	0	47	24	386	10	0	86	20	0	0	0	1	0	26	13	0	0	13	11	0	15	0	23	42	0	0	444	32	5	14	86	23	27	0	0	0	5	1	380	548	8	7	15	0	3	333	2	0	7	171	1044	18	2	63	6	0	24	94	17	0	0	22	0	6	422	3811	0	23	234	217	33	65	14	0	0	125	0	19	0	619	5435	0	0	4	15	1555	6	176	0	0	208	0	105	2	0	0	1227	27	3	2	1198	1812	0	0	19	1028	0	433	31	27	0	0	88	0	29	1334	0	8	10
а	19775	153	122	141403	11970	0	0	264	22	0	0	348	36	116	56	3	344047	0	21	0	152789	0	2	62	0	263	150	0	2	2	120	16	0	0	472	141	123	0	0	162	20224	18352	1917	142	5	11566	0	13282	260125	0	0	0	49130	1	192	152278	0	0	51963	143681	0	73391	0	332245	355412	9	14	95034	3	12649	179	849	421	3	0	0	1067	2213	48	253	67	70415	0	371427	1	55161	2	107	0	99933	6	86	265017	67844	6103	80115	0	357248	22	0	4	0	2	0	431288	270	129	9	1	25	14	4	2194	210010	0	1	18	0	362761	0	213020	1214407	63	0	0	1936	766	70954	29	0	0	18981	0	91	72368	4	0	41	314251	1	0	31	35	2	0	110997	42	0	115	10534	9148	0	499	4225	0	11409	50	0	186690	127
=	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ä	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
u	76	11	0	0	1	0	0	525	0	7	1	19	615	9	0	0	9	0	190	1	5	5	6	4	0	3	10	0	0	0	1069	197	0	0	58	9	0	11	0	855	3	0	37	18	159	5	0	71	15	0	0	1	0	0	9	11	0	0	4	7	0	9	0	11	14	0	1	261	43	3	6	57	306	24	0	0	0	1	0	329	512	0	0	3	0	1	58	2	0	4	44	1297	7	1	48	2	0	13	74	0	0	0	23	0	2	521	2840	0	15	151	197	48	53	5	0	0	222	0	7	0	634	5391	0	0	0	6	1475	4	169	0	0	177	0	200	0	1	0	1134	12	0	1	335	2069	0	0	12	2481	0	481	27	15	0	0	78	0	20	490	0	4	14
r	71	24	13	0	3	0	0	319	1	14	0	46	908	8	0	0	37	0	64	0	10	68	25	13	0	9	22	0	0	0	659	312	0	0	321	19	2	84	0	2002	0	0	48	22	439	10	0	100	32	0	2	2	6	0	21	20	0	0	12	1	0	9	0	12	46	0	1	391	57	3	17	112	47	16	0	0	0	1	0	460	775	5	5	16	0	3	341	0	3	8	167	1465	15	4	78	0	0	31	133	0	0	0	10	0	6	742	4655	0	57	224	160	12	65	13	0	0	161	0	22	2	938	4553	0	0	4	18	2306	6	260	0	0	237	0	67	2	1	0	1220	19	2	3	857	741	0	0	33	1682	0	428	49	34	0	0	148	0	53	1293	0	12	19
љ	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
¾	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
п	3405	3	0	39396	1553	0	0	4	0	0	0	7	1	0	3	3	191450	0	0	0	36705	0	0	3	0	25	5	0	5	0	0	0	0	0	14	1	4	0	0	4	4615	6299	65	13	0	253	0	348	64338	0	0	0	3784	0	6	81652	0	0	7782	16150	0	13135	0	103685	144388	0	4	3858	1	1554	6	26	5	0	0	0	711	32	0	11	3	18941	0	109164	0	16572	0	3	0	44953	1	0	51970	13222	241	17381	0	435750	0	0	2	0	0	0	107450	2	1	0	0	2	0	10	52	37629	0	0	1	0	67238	0	7694	63145	52	0	0	85	32	31728	1	0	0	793	0	61	22651	0	0	0	128874	0	0	0	3	0	0	19394	0	0	3	369	140	0	284	163	0	99	4	0	297958	0
s	255	30	18	1	7	0	0	480	0	1	1	46	809	14	0	0	45	0	120	1	15	2	33	11	0	5	22	0	0	0	1068	221	0	0	167	25	1	15	0	1732	1	0	39	23	267	10	4	123	54	0	0	3	1	0	30	22	0	0	8	16	0	14	0	41	68	0	0	567	48	0	28	151	41	15	0	0	0	2	0	500	973	12	0	19	0	4	181	1	2	10	108	1310	35	5	89	7	0	51	141	17	0	0	28	0	6	639	4015	0	45	312	271	57	90	20	0	0	254	0	34	2	1051	7379	0	0	2	16	1991	14	300	0	0	208	0	186	3	1	0	1980	41	1	1	1381	999	0	0	40	1480	0	673	47	57	0	1	120	0	53	1655	0	21	25
~	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p	6	1	0	1	0	0	0	102	0	2	0	1	170	0	0	0	7	0	8	0	1	0	2	0	0	1	3	0	1	0	530	77	0	0	90	0	0	51	0	1376	0	0	7	4	168	1	0	38	4	0	0	0	0	0	4	4	0	0	14	2	0	3	0	4	16	0	0	101	14	0	0	10	8	7	2	0	0	0	0	44	159	3	1	1	0	2	140	0	0	1	53	394	2	0	11	1	0	1	11	0	0	0	1	0	2	115	1324	0	29	78	13	1	11	3	0	0	59	0	3	0	138	774	0	0	0	2	850	0	34	0	0	29	0	6	1	0	0	518	10	0	0	742	1618	0	0	2	1061	0	182	9	0	0	0	13	0	1	863	0	0	2
;	55	17	8	23	662	0	0	58	0	0	0	14	120	6	1	0	3718	0	26	0	2119	0	3	1	0	3	19	0	0	0	232	48	0	0	46	15	0	0	0	308	65	100	13	3	165	8	0	17	3828	0	0	0	87	0	13	2287	0	0	75	1020	0	1007	0	3081	2595	1	0	71	2	87	16	67	7	0	0	0	3	44	1	136	165	867	0	3979	0	358	130	0	0	1718	0	214	1745	319	27	1077	0	13537	3	0	0	0	1	0	1131	145	718	0	0	42	30	3	32	1688	0	0	21	0	10883	0	277	45154	0	0	0	3	218	1064	41	0	0	17	0	56	113	0	0	345	6309	0	0	136	465	0	0	2821	266	0	77	5	22	0	8	12	0	47	205	0	1874	12
